0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"                2_B_R_0_2_B             By     Kurt Vonnegut, Jr.   Transcriber note: This etext was produced from Worlds of If, January 1962.","[11, 2, 4, 8, 2, 11, 4, 4, 5, 3, 8, 4, 6, 2, 2, 7, 4]",87,"[0, 1, 1, 3, 0, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 3, 0]",22,0.0,16,1,1,4
Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.,"[9, 8, 3, 3, 7, 3, 8, 4, 3, 3, 9, 2, 4, 11, 3, 7]",87,"[3, 3, 1, 1, 3, 2, 3, 1, 1, 1, 3, 1, 1, 4, 1, 2]",31,0.0,1,1,1,4
Got a problem?,"[3, 1, 7]",11,"[1, 1, 2]",4,0.0,15,0,0,3
Just pick up the phone.,"[4, 4, 2, 3, 5]",18,"[1, 1, 1, 1, 1]",5,0.0,0,0,0,3
It solved them all--and all the same way!,"[2, 6, 4, 3, 3, 3, 3, 4, 3]",31,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,0.0,7,0,0,3
"2      B      R      0      2      B   by KURT VONNEGUT, JR.     Everything was perfectly swell.","[1, 1, 1, 1, 1, 1, 2, 4, 8, 2, 10, 3, 9, 5]",49,"[0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 4, 1, 3, 1]",14,1.0,9,2,2,0
"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.","[5, 4, 2, 7, 2, 5, 2, 6, 7, 2, 8, 2, 7, 2, 4]",65,"[1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 3, 1, 1]",21,0.5,2,2,2,0
All diseases were conquered.,"[3, 8, 4, 9]",24,"[1, 3, 1, 2]",7,0.0,0,0,0,3
So was old age.,"[2, 3, 3, 3]",11,"[1, 1, 1, 1]",4,0.1,15,0,0,3
"Death, barring accidents, was an adventure for volunteers.","[5, 7, 9, 3, 2, 9, 3, 10]",48,"[2, 2, 3, 1, 1, 3, 1, 3]",16,0.0,3,0,0,1
