0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"     EMMA  By Jane Austen     VOLUME I    CHAPTER I   Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.","[4, 2, 4, 6, 6, 1, 7, 1, 4, 9, 8, 6, 3, 4, 4, 1, 11, 4, 3, 5, 11, 6, 2, 5, 4, 2, 3, 4, 9, 2, 9, 3, 3, 5, 6, 10, 5, 2, 3, 5, 4, 4, 6, 2, 8, 2, 3, 3]",224,"[2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 3, 3, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1]",73,0.387239583333,15,2,2,0
"She was the youngest of the two daughters of a most affectionate, indulgent father; and had, in consequence of her sister's marriage, been mistress of his house from a very early period.","[3, 3, 3, 8, 2, 3, 3, 9, 2, 1, 4, 12, 9, 6, 3, 3, 2, 11, 2, 3, 6, 2, 8, 4, 8, 2, 3, 5, 4, 1, 4, 5, 6]",150,"[0, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 4, 3, 2, 1, 1, 1, 3, 1, 1, 2, 0, 3, 1, 2, 1, 1, 1, 1, 1, 2, 3, 2]",49,0.315,6,0,0,0
"Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses; and her place had been supplied by an excellent woman as governess, who had fallen little short of a mother in affection.","[3, 6, 3, 4, 3, 4, 3, 3, 3, 2, 4, 4, 4, 2, 10, 11, 2, 3, 8, 3, 3, 5, 3, 4, 8, 2, 2, 9, 5, 2, 9, 3, 3, 6, 6, 5, 2, 1, 6, 2, 9]",180,"[1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3]",58,0.2525,6,2,2,0
"Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma.","[7, 5, 3, 4, 6, 4, 2, 2, 9, 2, 6, 4, 2, 1, 9, 4, 1, 6, 4, 4, 2, 4, 9, 3, 12, 2, 4]",121,"[2, 2, 1, 1, 2, 1, 1, 0, 2, 0, 3, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 5, 1, 2]",41,0.0666666666667,16,1,1,0
Between _them_ it was more the intimacy of sisters.,"[7, 4, 2, 3, 4, 3, 8, 2, 7]",40,"[2, 1, 1, 1, 1, 1, 4, 1, 2]",14,0.5,5,0,0,3
"Even before Miss Taylor had ceased to hold the nominal office of governess, the mildness of her temper had hardly allowed her to impose any restraint; and the shadow of authority being now long passed away, they had been living together as friend and friend very mutually attached, and Emma doing just what she liked; highly esteeming Miss Taylor's judgment, but directed chiefly by her own.","[4, 6, 4, 6, 3, 6, 2, 4, 3, 7, 6, 2, 9, 3, 8, 2, 3, 6, 3, 6, 7, 3, 2, 6, 3, 9, 3, 3, 6, 2, 9, 5, 3, 4, 6, 4, 4, 3, 4, 6, 8, 2, 6, 3, 6, 4, 8, 8, 3, 4, 5, 4, 4, 3, 5, 6, 9, 4, 6, 2, 8, 3, 8, 7, 2, 3, 3]",319,"[2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 3, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 2, 1, 2, 2, 3, 2, 1, 2, 1, 1, 1, 0, 1, 2, 3, 1, 2, 0, 2, 1, 2, 3, 1, 1, 1]",104,0.203055555556,9,2,2,2
"The real evils, indeed, of Emma's situation were the power of having rather too much her own way, and a disposition to think a little too well of herself; these were the disadvantages which threatened alloy to her many enjoyments.","[3, 4, 5, 6, 2, 4, 2, 9, 4, 3, 5, 2, 6, 6, 3, 4, 3, 3, 3, 3, 1, 11, 2, 5, 1, 6, 3, 4, 2, 7, 5, 4, 3, 13, 5, 10, 5, 2, 3, 4, 10]",186,"[1, 2, 2, 1, 1, 2, 0, 3, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 3, 2, 1, 1, 2, 3]",61,0.2625,6,2,2,0
"The danger, however, was at present so unperceived, that they did not by any means rank as misfortunes with her.","[3, 6, 7, 3, 2, 7, 2, 11, 4, 4, 3, 3, 2, 3, 5, 4, 2, 11, 4, 3]",89,"[1, 2, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1]",30,-0.4,12,1,1,4
Sorrow came--a gentle sorrow--but not at all in the shape of any disagreeable consciousness.--Miss Taylor married.,"[6, 4, 1, 6, 6, 3, 3, 2, 3, 2, 3, 5, 2, 3, 12, 13, 4, 6, 7]",91,"[2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 3, 1, 2, 2]",29,0.225,19,0,0,1
It was Miss Taylor's loss which first brought grief.,"[2, 3, 4, 6, 2, 4, 5, 5, 7, 5]",43,"[1, 1, 1, 2, 0, 1, 1, 1, 1, 2]",11,-0.275,11,1,1,4
