pardon,2
saves,1
crumpled,1
yellow,2
four,1
woods,1
sleep,1
hanging,2
'DUM,1
saved,1
Conveniently,5
consider,3
whose,1
Fit,1
scold,1
presents,2
under,2
sorry,2
plaintive,2
worth,1
rise,1
dish-cover,3
every,3
leisurely,4
'all,1
fireplace,3
'Ahoy,2
bewildered,3
wooden,2
cause,1
loneliness,4
'Living,2
May,1
prattled,1
Go,1
'Selfish,2
Evidently,4
clothes,1
dwindled,1
quilt,1
tired,1
'about,2
'was,1
horn,1
dish,1
likely,3
louder,2
Messengers,3
shining,2
even,2
hide,1
solemn,2
hate,1
fingers,2
yonder,2
'You,1
gillirb,2
mischievous,4
above,2
Put,1
new,1
tips,1
ever,2
gyroscope,3
told,1
flower-beds,3
kicked,1
screams,2
never,2
here,1
'she,0
met,1
mew,1
mouse-trap,3
hers,1
path,1
FALLING,2
dry,1
'Talk,1
balance,2
daughter,2
luggage,2
leaves,2
Queen,1
'Silence,2
pinning,2
smoke,1
NOT,1
NOW,1
settled,1
punishment,3
ventured,2
'Ca,1
golden,2
Mutton,2
dnA,1
'Kitty,2
slices,1
ground,1
explained,2
darlings,2
angrily,3
feelings,2
brought,1
patience,3
ninety,3
guests,1
drowned,1
dna,1
spoke,1
would,1
bundles,1
arms,1
call,1
telegraph,3
leant,2
strike,1
bundled,1
's,0
tell,1
distinct,2
breathe,2
mumblingly,3
peeping,2
evening,3
brings,1
Rule,1
hurt,1
glass,1
warm,1
'Tell,1
tying,1
V,0
midst,1
hold,1
must,1
me,1
'Hush-a-by,3
join,1
room,1
Swept,1
skipping,2
brandishing,3
work,1
plunged,1
roof,1
elbow,2
altering,3
my,1
Bread-and-butter,5
shook,1
Rocking-horse-fly,5
EVERYTHING,4
proudly,2
thirsty,2
quivering,3
sixty-four,3
flung,1
belonging,3
contented,2
honey,2
overheard,4
want,1
PEEP,1
times,1
worse,1
end,1
drummed,1
turn,1
complaining,3
travel,2
puzzled,1
ONE,1
how,1
hot,1
hop,1
answer,2
tangled,1
III,1
dignified,3
A,1
badly,2
HEAD,2
WOULD,1
funny,2
after,2
vicious,2
lump,1
wrong,1
jumping,2
lay,1
curiosity,4
dough,1
grass-plot,2
purchase,2
All,1
oddly,2
'Take,1
wins,1
wink,1
wriggling,2
green,1
Another,3
aloud,2
balancing,3
oysters,2
order,2
wind,1
wine,1
GIVE,1
'ye,0
dreamed,2
over,2
willow-tree,3
satisfied,3
GO,1
falling,2
bounding,2
bread-and-butter,5
OUGHT,1
before,2
His,1
lovingly,3
fit,1
somewhere,3
screaming,3
'Nobody,3
Here,1
writing,2
better,2
'Blew,1
frumious,2
moaned,1
fade,1
glanced,1
carve,1
SLITHY,2
easier,4
Oyster,2
then,1
them,1
There,1
plaster,2
safe,1
ALICE,2
BALANCES,2
frosts,1
bang,1
they,1
sceptre,1
interrupt,3
shadows,2
one,1
bank,1
pegs,1
Fawn,1
merrily,3
Indeed,1
Agreed,1
'of,1
whiffling,2
Four,1
'Four,1
leaned,2
reasonable,4
each,2
'All,1
volcano,3
went,1
Check,1
bone,1
'or,1
tar-barrel,3
lifted,1
telescope,3
hearth-rugs,3
series,2
SOME,1
taught,1
forgot,2
impenetrability,7
message,2
large,1
Cut,1
Ever,2
washed,1
content,2
laid,1
got,1
realler,3
cheerfully,3
gate,1
dismal,2
turning,2
d'you,1
shtar,1
'almost,2
free,1
'Nurse,1
fastening,3
wanted,1
knit,1
chortled,1
enormous,3
ate,1
ANYTHING,3
shelves,1
Insects,2
raisin,2
days,1
'She,0
portmanteau,4
arrived,2
MAN,1
loud,1
bite,1
'd,0
rang,1
already,4
characters,3
dish-covers,3
darted,1
Please,2
comforted,2
hearing,3
Wax-works,2
another,3
yhtils,2
thoughtfully,3
thick,1
ditch,1
WHITE,1
brillig,2
top,1
kinder,2
master,2
too,1
wildly,2
inconvenient,5
legs,1
bitter,2
dogs,1
listen,2
ceiling,2
solemnly,3
feathers,3
took,1
brushed,1
begins,2
ebaw,2
anxiety,4
Consider,3
Carroll,2
rate,1
seated,2
matter,2
exclaimed,2
flame,1
friend,2
spoiled,1
feeling,2
bridge,1
humble,1
handkerchief,4
ran,1
shyly,2
mind,1
upset,2
spent,1
talking,2
manner,2
seen,1
seem,1
lullaby,3
Then,1
cottages,2
convenient,4
NEVER,2
snow,1
eagerly,4
subjects,2
chess,1
They,1
laughed,1
Ask,1
rider,2
'whether,2
blue,0
gravy,2
nobody,3
though,1
Knight,1
regular,3
mouth,1
plenty,2
coin,1
grave,1
GROUND,1
'Always,2
Lewis,2
alarm,2
lose,1
flow,1
dog,1
yours,1
gravel-walk,3
sun,1
'Ditto,2
'Hay,1
annoyed,1
came,1
decidedly,4
saying,1
insects,2
visitor,3
queen,1
Bread-and-Butterfly,6
respectfully,4
queer,1
enjoyed,1
blotting,2
lessons,2
submit,2
spite,1
explain,2
sentence,2
folded,1
TOVES,1
sugar,2
bush,1
about,2
disgust,2
pursuing,2
heartily,4
'no,1
scrubbing,2
do,1
market-place,3
'Principal,3
squeaking,3
stop,1
blinking,2
pocket,2
shutting,2
altogether,4
knocks,1
nasty,2
headlong,3
runs,1
bar,1
snap-dragon-fly,4
nicely,3
fields,2
rowing,2
anxiously,3
dipping,2
licking,2
twice,1
bad,1
softly,2
half-laughing,3
fiddle-de-dee,4
ears,2
blew,1
HAVE,1
swept,1
habit,2
imitate,3
saddle,1
toes,0
miserable,3
half-an-hour,3
best,1
subject,2
'Sit,1
said,1
erew,2
'May,1
Rub,1
Hideous,2
away,2
sail,1
gentleman,3
Water,2
unable,2
finger,2
July,2
sorts,1
365,0
privilege,3
claws,1
we,1
men,1
bargains,2
admiring,3
wo,1
confusion,3
'Humpty,2
lapping,2
however,3
'that,1
MORE,1
mountain-rill,3
drew,1
'and,1
news,1
hundreds,2
Oysters,2
holds,1
ham,1
faced,1
Among,2
'DASH,1
accident,3
country,2
adventures,3
against,2
Waking,2
Bring,1
Be-e-ehh,3
gasped,1
faces,1
ALONE,2
argue,1
asked,1
Battle,1
tone,1
vexed,1
appeared,3
vain,1
'First,1
hast,1
gleaming,3
wider,2
munched,1
humming,2
two-yard,3
speak,2
'Tweedledum,3
engines,2
eager,3
fro,1
three,1
tiny,2
quickly,2
chimneys,2
'Twopence,2
much,1
interest,3
WERE,1
expected,2
figure,2
Flowers,2
warmth,1
threw,1
life,1
BUSH,1
easy,3
quantities,3
CA,1
arm-chair,2
Impenetrability,7
child,1
catch,1
worked,1
sad,1
patting,2
save,1
NAME,1
ticket-office,4
Beware,2
OUTSIDE,2
TREES,0
air,1
ugly,2
near,2
melted,1
suppose,2
stopping,2
voice,1
Tuesday,2
mistake,2
seven,2
changed,1
'When,1
played,0
is,1
it,1
sting,1
tease,2
shame,1
'My,1
to-morrow,3
in,1
cakes,1
tremendously,4
if,1
grown,1
growl,1
bottles,1
severity,4
things,1
make,1
wound,1
'MY,1
vegetable,3
borogoves,3
several,3
'Pudding,2
fuss,1
BOTH,1
VI,1
rain,1
hand,1
delight,2
Wonderland,3
kittens,2
Oil,1
'Weak,2
opportunity,5
greedily,3
thoughts,1
butter,2
hearth,2
kept,1
hopping,2
Fulcrum,2
smokes,1
echoed,1
the,1
handing,2
burbled,1
left,1
etiquette,3
just,1
THAT,1
sleepy,2
farther,2
human,2
yes,0
yet,1
Happy,2
'ONE,1
spectacles,2
hills,1
had,1
wings,1
hay,1
shout,1
belongs,2
tulgey,2
prison,2
has,1
Eighth,1
gave,1
possible,2
knock-down,2
Try,1
possibly,3
WHICH,1
bushy,2
ditto,2
shoulder,2
'thing,1
uffish,2
deafened,3
new-found,2
hunt,1
galumphing,3
'Servants,2
fearfully,4
steps,1
Are,1
OF,1
hung,1
right,1
old,1
deal,2
people,1
rocked,1
deaf,2
somehow,3
dead,2
clubs,1
dear,2
creep,1
HE,1
Life,1
for,1
Twopence,2
Nobody,3
foe,0
asking,2
Let,1
SHEEP,1
beating,3
'Have,1
He,1
meanings,3
night,1
disappeared,4
'because,2
losing,2
post,1
First,1
wept,1
'it,1
'is,1
petals,2
months,1
'if,1
dinner,2
despair,2
afternoon,3
'And,1
steadily,4
'let,1
Still,1
badgers,2
raised,1
gauze,1
civil,2
puzzle,1
bound,1
son,1
YKCOWREBBAJ,4
remarks,2
frightened,2
cleverest,3
'Plenty,2
crowd,1
waking,2
support,2
flying,1
CARPENTER,3
fight,1
way,1
spring,1
letter,2
music,2
was,1
happy,2
fork,1
head,2
names,1
quantity,3
crown,1
tigers,2
fireworks,3
'nobody,3
pricked,1
needles,1
hear,2
heap,2
astonished,3
true,0
deepest,2
lizards,2
throw,1
consequences,3
sighs,1
WAYS,1
bargain,2
WHY,1
'That,1
'Confess,2
'Look,1
OUT,1
temper,2
brightly,2
