0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"     MOBY DICK; OR THE WHALE  By Herman Melville     Original Transcriber's Notes:  This text is a combination of etexts, one from the now-defunct ERIS project at Virginia Tech and one from Project Gutenberg's archives.","[4, 4, 2, 3, 5, 2, 6, 8, 8, 11, 2, 5, 4, 4, 2, 1, 11, 2, 6, 3, 4, 3, 11, 4, 7, 2, 8, 4, 3, 3, 4, 7, 9, 2, 8]",172,"[2, 1, 1, 1, 1, 1, 2, 2, 4, 3, 0, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 3, 2, 2, 1, 4, 1, 1, 1, 1, 2, 3, 0, 2]",56,0.375,9,0,0,3
The proofreaders of this version are indebted to The University of Adelaide Library for preserving the Virginia Tech version.,"[3, 12, 2, 4, 7, 3, 8, 2, 3, 10, 2, 8, 7, 3, 10, 3, 8, 4, 7]",106,"[1, 4, 1, 1, 2, 1, 2, 1, 1, 5, 1, 3, 3, 1, 3, 1, 4, 1, 2]",38,0.0,10,1,1,4
The resulting etext was compared with a public domain hard copy version of the text.,"[3, 9, 5, 3, 8, 4, 1, 6, 6, 4, 4, 7, 2, 3, 4]",69,"[1, 3, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1]",23,-0.145833333333,19,1,1,2
"In chapters 24, 89, and 90, we substituted a capital L for the symbol for the British pound, a unit of currency.","[2, 8, 2, 2, 3, 2, 2, 11, 1, 7, 1, 3, 3, 6, 3, 3, 7, 5, 1, 4, 2, 8]",86,"[1, 2, 0, 0, 1, 0, 1, 3, 1, 3, 0, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 3]",28,0.0,10,1,1,2
ETYMOLOGY.,[9],9,[5],5,0.0,11,1,1,2
"(Supplied by a Late Consumptive Usher to a Grammar School)  The pale Usher--threadbare in coat, heart, body, and brain; I see him now.","[8, 2, 1, 4, 11, 5, 2, 1, 7, 6, 3, 4, 5, 10, 2, 4, 5, 4, 3, 5, 1, 3, 3, 3]",102,"[2, 1, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",34,-0.255,5,1,1,1
"He was ever dusting his old lexicons and grammars, with a queer handkerchief, mockingly embellished with all the gay flags of all the known nations of the world.","[2, 3, 4, 7, 3, 3, 8, 3, 8, 4, 1, 5, 12, 9, 11, 4, 3, 3, 3, 5, 2, 3, 3, 5, 7, 2, 3, 5]",131,"[1, 1, 2, 2, 1, 1, 3, 1, 2, 1, 1, 1, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",41,0.258333333333,13,0,0,4
He loved to dust his old grammars; it somehow mildly reminded him of his mortality.,"[2, 5, 2, 4, 3, 3, 8, 2, 7, 6, 8, 3, 2, 3, 9]",67,"[1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 2, 1, 1, 1, 4]",23,0.377777777778,18,0,0,3
"""While you take in hand to school others, and to teach them by what name a whale-fish is to be called in our tongue leaving out, through ignorance, the letter H, which almost alone maketh the signification of the word, you deliver that which is not true.""","[5, 3, 4, 2, 4, 2, 6, 6, 3, 2, 5, 4, 2, 4, 4, 1, 10, 2, 2, 2, 6, 2, 3, 6, 7, 3, 7, 9, 3, 6, 1, 5, 6, 5, 6, 3, 13, 2, 3, 4, 3, 7, 4, 5, 2, 3, 4]",201,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 2, 0, 1, 2, 2, 2, 1, 5, 1, 1, 1, 1, 3, 1, 1, 1, 1, 0]",63,-0.175,3,2,2,4
"--HACKLUYT  ""WHALE.... Sw. and Dan.","[8, 5, 2, 3, 3]",21,"[2, 1, 0, 1, 1]",5,0.0,11,1,1,2
HVAL.,[4],4,[1],1,0.0,11,1,1,2
This animal is named from roundness or rolling; for in Dan.,"[4, 6, 2, 5, 4, 9, 2, 7, 3, 2, 3]",47,"[1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1]",15,0.0,0,1,1,2
"HVALT is arched or vaulted.""","[5, 2, 6, 2, 7]",22,"[1, 1, 1, 1, 1]",5,0.0,11,1,1,2
"--WEBSTER'S DICTIONARY  ""WHALE....","[7, 2, 10, 5]",24,"[2, 0, 4, 1]",7,0.0,11,1,1,2
It is more immediately from the Dut.,"[2, 2, 4, 11, 4, 3, 3]",29,"[1, 1, 1, 6, 1, 1, 1]",12,0.5,18,0,0,3
and Ger.,"[3, 3]",6,"[1, 1]",2,0.0,11,1,1,2
"WALLEN; A.S. WALW-IAN, to roll, to wallow.""","[6, 3, 8, 2, 4, 2, 6]",31,"[2, 1, 3, 1, 1, 1, 2]",11,0.0,0,1,1,2
"--RICHARDSON'S DICTIONARY       KETOS,               GREEK.","[10, 2, 10, 5, 5]",32,"[3, 0, 4, 2, 1]",10,0.0,0,1,1,2
"CETUS,               LATIN.","[5, 5]",10,"[2, 2]",4,0.0,11,1,1,2
"WHOEL,               ANGLO-SAXON.","[5, 11]",16,"[1, 4]",5,0.0,11,1,1,2
"HVALT,               DANISH.","[5, 6]",11,"[1, 2]",3,0.0,11,1,1,2
"WAL,                 DUTCH.","[3, 5]",8,"[1, 1]",2,0.0,11,1,1,2
"HWAL,                SWEDISH.","[4, 7]",11,"[1, 2]",3,0.0,11,1,1,2
"WHALE,               ICELANDIC.","[5, 9]",14,"[1, 4]",5,0.0,11,1,1,2
"WHALE,               ENGLISH.","[5, 7]",12,"[1, 2]",3,0.0,11,1,1,2
"BALEINE,             FRENCH.","[7, 6]",13,"[2, 1]",3,0.0,11,1,1,2
"BALLENA,             SPANISH.","[7, 7]",14,"[3, 2]",5,0.0,11,1,1,2
"PEKEE-NUEE-NUEE,     FEGEE.","[15, 5]",20,"[4, 2]",6,0.0,11,1,1,2
"PEHEE-NUEE-NUEE,     ERROMANGOAN.","[15, 11]",26,"[4, 4]",8,0.0,11,1,1,2
EXTRACTS (Supplied by a Sub-Sub-Librarian).,"[8, 8, 2, 1, 17]",36,"[2, 2, 1, 1, 6]",12,0.0,0,1,1,2
"It will be seen that this mere painstaking burrower and grub-worm of a poor devil of a Sub-Sub appears to have gone through the long Vaticans and street-stalls of the earth, picking up whatever random allusions to whales he could anyways find in any book whatsoever, sacred or profane.","[2, 4, 2, 4, 4, 4, 4, 11, 8, 3, 9, 2, 1, 4, 5, 2, 1, 7, 7, 2, 4, 4, 7, 3, 4, 8, 3, 13, 2, 3, 5, 7, 2, 8, 6, 9, 2, 6, 2, 5, 7, 4, 2, 3, 4, 10, 6, 2, 7]",234,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 2, 2, 1, 3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 2]",74,-0.31,3,2,2,4
"Therefore you must not, in every case at least, take the higgledy-piggledy whale statements, however authentic, in these extracts, for veritable gospel cetology.","[9, 3, 4, 3, 2, 5, 4, 2, 5, 4, 3, 17, 5, 10, 7, 9, 2, 5, 8, 3, 9, 6, 8]",133,"[3, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 6, 1, 3, 3, 3, 1, 1, 2, 1, 3, 2, 4]",46,0.1,13,1,1,4
Far from it.,"[3, 4, 2]",9,"[1, 1, 1]",3,0.1,11,1,1,2
"As touching the ancient authors generally, as well as the poets here appearing, these extracts are solely valuable or entertaining, as affording a glancing bird's eye view of what has been promiscuously said, thought, fancied, and sung of Leviathan, by many nations and generations, including our own.","[2, 8, 3, 7, 7, 9, 2, 4, 2, 3, 5, 4, 9, 5, 8, 3, 6, 8, 2, 12, 2, 9, 1, 8, 4, 2, 3, 4, 2, 4, 3, 4, 13, 4, 7, 7, 3, 4, 2, 9, 2, 4, 7, 3, 11, 9, 3, 3]",246,"[1, 2, 1, 3, 2, 4, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 3, 2, 1, 4, 1, 3, 1, 2, 1, 0, 0, 2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 4, 1, 2, 2, 1, 4, 3, 1, 1]",81,0.43,17,2,2,0
"So fare thee well, poor devil of a Sub-Sub, whose commentator I am.","[2, 4, 4, 4, 4, 5, 2, 1, 7, 5, 11, 1, 2]",52,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 4, 1, 1]",18,-0.4,19,1,1,1
"Thou belongest to that hopeless, sallow tribe which no wine of this world will ever warm; and for whom even Pale Sherry would be too rosy-strong; but with whom one sometimes loves to sit, and feel poor-devilish, too; and grow convivial upon tears; and say to them bluntly, with full eyes and empty glasses, and in not altogether unpleasant sadness--Give it up, Sub-Subs!","[4, 9, 2, 4, 8, 6, 5, 5, 2, 4, 2, 4, 5, 4, 4, 4, 3, 3, 4, 4, 4, 6, 5, 2, 3, 11, 3, 4, 4, 3, 9, 5, 2, 3, 3, 4, 13, 3, 3, 4, 9, 4, 5, 3, 3, 2, 4, 7, 4, 4, 4, 3, 5, 7, 3, 2, 3, 10, 10, 7, 4, 2, 2, 8]",295,"[1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 2, 2, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 1, 1, 1, 1, 4, 4, 2, 1, 1, 1, 2]",93,-0.0345,1,2,2,0
