0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
by Al Haines.,"[2, 2, 6]",10,"[1, 1, 1]",3,0.0,5,0,0,1
"Persuasion   by  Jane Austen  (1818)     Chapter 1   Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents; there any unwelcome sensations, arising from domestic affairs changed naturally into pity and contempt as he turned over the almost endless creations of the last century; and there, if every other leaf were powerless, he could read his own history with an interest which never failed.","[10, 2, 4, 6, 4, 7, 1, 3, 6, 6, 2, 8, 4, 2, 13, 3, 1, 3, 3, 3, 3, 3, 9, 5, 4, 2, 3, 4, 3, 3, 10, 5, 2, 5, 10, 3, 2, 4, 4, 3, 11, 2, 1, 10, 3, 5, 3, 9, 4, 6, 4, 10, 3, 7, 2, 13, 3, 7, 7, 2, 3, 8, 7, 5, 3, 9, 10, 7, 4, 8, 7, 7, 9, 4, 4, 3, 8, 2, 2, 6, 4, 3, 6, 7, 9, 2, 3, 4, 7, 3, 5, 2, 5, 5, 4, 4, 9, 2, 5, 4, 3, 3, 7, 4, 2, 8, 5, 5, 6]",542,"[3, 1, 1, 2, 0, 2, 0, 1, 2, 2, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 1, 2, 1, 4, 1, 2, 2, 1, 1, 4, 2, 1, 2, 3, 3, 3, 1, 3, 2, 1, 4, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 3, 1, 1, 1, 3, 1, 1, 1, 3, 2, 2, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 2, 1]",183,0.0571428571429,7,1,1,2
"This was the page at which the favourite volume always opened:             ""ELLIOT OF KELLYNCH HALL.","[4, 3, 3, 4, 2, 5, 3, 9, 6, 6, 6, 6, 2, 8, 4]",71,"[1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 1, 2, 1]",22,0.0,3,0,0,1
"""Walter Elliot, born March 1, 1760, married, July 15, 1784, Elizabeth, daughter of James Stevenson, Esq.","[6, 6, 4, 5, 1, 4, 7, 4, 2, 4, 9, 8, 2, 5, 9, 3]",79,"[2, 2, 1, 1, 0, 0, 2, 2, 0, 0, 4, 2, 1, 1, 3, 1]",22,0.25,1,2,2,1
"of South Park, in the county of Gloucester, by which lady (who died 1800) he has issue Elizabeth, born June 1, 1785; Anne, born August 9, 1787; a still-born son, November 5, 1789; Mary, born November 20, 1791.""","[2, 5, 4, 2, 3, 6, 2, 10, 2, 5, 4, 3, 4, 4, 2, 3, 5, 9, 4, 4, 1, 4, 4, 4, 6, 1, 4, 1, 10, 3, 8, 1, 4, 4, 4, 8, 2, 4]",156,"[1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 0, 1, 1, 1, 4, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 2, 1, 3, 0, 0, 2, 1, 3, 0, 0]",43,0.0,12,0,0,4
"Precisely such had the paragraph originally stood from the printer's hands; but Sir Walter had improved it by adding, for the information of himself and his family, these words, after the date of Mary's birth-- ""Married, December 16, 1810, Charles, son and heir of Charles Musgrove, Esq.","[9, 4, 3, 3, 9, 10, 5, 4, 3, 7, 2, 5, 3, 3, 6, 3, 8, 2, 2, 6, 3, 3, 11, 2, 7, 3, 3, 6, 5, 5, 5, 3, 4, 2, 4, 2, 5, 7, 8, 2, 4, 7, 3, 3, 4, 2, 7, 8, 3]",228,"[4, 1, 1, 1, 3, 5, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 0, 1, 2, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1]",70,0.208333333333,15,1,1,4
"of Uppercross, in the county of Somerset,"" and by inserting most accurately the day of the month on which he had lost his wife.","[2, 10, 2, 3, 6, 2, 8, 3, 2, 9, 4, 10, 3, 3, 2, 3, 5, 2, 5, 2, 3, 4, 3, 4]",100,"[1, 3, 1, 1, 2, 1, 3, 1, 1, 3, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",35,0.45,16,2,2,3
"Then followed the history and rise of the ancient and respectable family, in the usual terms; how it had been first settled in Cheshire; how mentioned in Dugdale, serving the office of high sheriff, representing a borough in three successive parliaments, exertions of loyalty, and dignity of baronet, in the first year of Charles II, with all the Marys and Elizabeths they had married; forming altogether two handsome duodecimo pages, and concluding with the arms and motto:--""Principal seat, Kellynch Hall, in the county of Somerset,"" and Sir Walter's handwriting again in this finale:--  ""Heir presumptive, William Walter Elliot, Esq., great grandson of the second Sir Walter.""","[4, 8, 3, 7, 3, 4, 2, 3, 7, 3, 11, 6, 2, 3, 5, 5, 3, 2, 3, 4, 5, 7, 2, 8, 3, 9, 2, 7, 7, 3, 6, 2, 4, 7, 12, 1, 7, 2, 5, 10, 11, 9, 2, 7, 3, 7, 2, 7, 2, 3, 5, 4, 2, 7, 2, 4, 3, 3, 5, 3, 10, 4, 3, 7, 7, 10, 3, 8, 9, 5, 3, 10, 4, 3, 4, 3, 5, 9, 4, 8, 4, 2, 3, 6, 2, 8, 3, 3, 6, 2, 11, 5, 2, 4, 6, 4, 11, 7, 6, 6, 3, 5, 8, 2, 3, 6, 3, 6]",544,"[1, 2, 1, 3, 1, 1, 1, 1, 3, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 4, 1, 2, 1, 1, 3, 4, 3, 1, 3, 1, 3, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 2, 2, 4, 1, 2, 4, 1, 1, 3, 1, 1, 1, 1, 2, 3, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 1, 2, 1, 3, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2]",179,0.273333333333,7,1,1,2
Vanity was the beginning and the end of Sir Walter Elliot's character; vanity of person and of situation.,"[6, 3, 3, 9, 3, 3, 3, 2, 3, 6, 6, 2, 9, 6, 2, 6, 3, 2, 9]",86,"[3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 0, 3, 3, 1, 2, 1, 1, 3]",31,0.0,3,0,0,1
"He had been remarkably handsome in his youth; and, at fifty-four, was still a very fine man.","[2, 3, 4, 10, 8, 2, 3, 5, 3, 2, 10, 3, 5, 1, 4, 4, 3]",72,"[1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1]",24,0.520833333333,14,2,2,3
"Few women could think more of their personal appearance than he did, nor could the valet of any new made lord be more delighted with the place he held in society.","[3, 5, 5, 5, 4, 2, 5, 8, 10, 4, 2, 3, 3, 5, 3, 5, 2, 3, 3, 4, 4, 2, 4, 9, 4, 3, 5, 2, 4, 2, 7]",130,"[1, 2, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4]",43,0.272727272727,1,2,2,4
"He considered the blessing of beauty as inferior only to the blessing of a baronetcy; and the Sir Walter Elliot, who united these gifts, was the constant object of his warmest respect and devotion.","[2, 10, 3, 8, 2, 6, 2, 8, 4, 2, 3, 8, 2, 1, 9, 3, 3, 3, 6, 6, 3, 6, 5, 5, 3, 3, 8, 6, 2, 3, 7, 7, 3, 8]",160,"[1, 3, 1, 2, 1, 3, 1, 3, 2, 1, 1, 2, 1, 1, 4, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 3]",55,0.0,12,1,1,4
His good looks and his rank had one fair claim on his attachment; since to them he must have owed a wife of very superior character to any thing deserved by his own.,"[3, 4, 5, 3, 3, 4, 3, 3, 4, 5, 2, 3, 10, 5, 2, 4, 2, 4, 4, 4, 1, 4, 2, 4, 8, 9, 2, 3, 5, 8, 2, 3, 3]",131,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 2, 1, 2, 1, 1, 1]",42,0.422,16,2,2,3
"Lady Elliot had been an excellent woman, sensible and amiable; whose judgement and conduct, if they might be pardoned the youthful infatuation which made her Lady Elliot, had never required indulgence afterwards.--She had humoured, or softened, or concealed his failings, and promoted his real respectability for seventeen years; and though not the very happiest being in the world herself, had found enough in her duties, her friends, and her children, to attach her to life, and make it no matter of indifference to her when she was called on to quit them.--Three girls, the two eldest sixteen and fourteen, was an awful legacy for a mother to bequeath, an awful charge rather, to confide to the authority and guidance of a conceited, silly father.","[4, 6, 3, 4, 2, 9, 5, 8, 3, 7, 5, 9, 3, 7, 2, 4, 5, 2, 8, 3, 8, 11, 5, 4, 3, 4, 6, 3, 5, 8, 10, 10, 3, 3, 8, 2, 8, 2, 9, 3, 8, 3, 8, 3, 4, 14, 3, 9, 5, 3, 6, 3, 3, 4, 8, 5, 2, 3, 5, 7, 3, 5, 6, 2, 3, 6, 3, 7, 3, 3, 8, 2, 6, 3, 2, 4, 3, 4, 2, 2, 6, 2, 12, 2, 3, 4, 3, 3, 6, 2, 2, 4, 4, 5, 5, 3, 3, 6, 7, 3, 8, 3, 2, 5, 6, 3, 1, 6, 2, 8, 2, 5, 6, 6, 2, 7, 2, 3, 9, 3, 8, 2, 1, 9, 5, 6]",602,"[2, 2, 1, 1, 1, 3, 2, 2, 1, 3, 1, 3, 1, 2, 1, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 2, 2, 1, 2, 2, 3, 3, 0, 1, 2, 1, 2, 1, 3, 1, 2, 1, 2, 1, 2, 6, 1, 3, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 3, 1, 1, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 1, 4, 1, 2, 1, 1, 2, 2, 2]",195,-0.157142857143,7,1,1,2
"She had, however, one very intimate friend, a sensible, deserving woman, who had been brought, by strong attachment to herself, to settle close by her, in the village of Kellynch; and on her kindness and advice, Lady Elliot mainly relied for the best help and maintenance of the good principles and instruction which she had been anxiously giving her daughters.","[3, 3, 7, 3, 4, 8, 6, 1, 8, 9, 5, 3, 3, 4, 7, 2, 6, 10, 2, 7, 2, 6, 5, 2, 3, 2, 3, 7, 2, 8, 3, 2, 3, 8, 3, 6, 4, 6, 6, 6, 3, 3, 4, 4, 3, 11, 2, 3, 4, 10, 3, 11, 5, 3, 3, 4, 9, 6, 3, 9]",291,"[0, 1, 3, 1, 2, 3, 2, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 3, 1, 0, 1, 1, 3, 2, 1, 2]",88,0.415714285714,19,1,1,4
"This friend, and Sir Walter, did not marry, whatever might have been anticipated on that head by their acquaintance.","[4, 6, 3, 3, 6, 3, 3, 5, 8, 5, 4, 4, 11, 2, 4, 4, 2, 5, 12]",94,"[1, 2, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 4, 1, 1, 2, 1, 1, 3]",30,0.0,3,0,0,1
"Thirteen years had passed away since Lady Elliot's death, and they were still near neighbours and intimate friends, and one remained a widower, the other a widow.","[8, 5, 3, 6, 4, 5, 4, 6, 2, 5, 3, 4, 4, 5, 4, 10, 3, 8, 7, 3, 3, 8, 1, 7, 3, 5, 1, 5]",132,"[2, 2, 1, 1, 2, 1, 2, 2, 0, 2, 1, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 2, 1, 3, 1, 2, 1, 2]",43,0.0583333333333,12,0,0,4
"That Lady Russell, of steady age and character, and extremely well provided for, should have no thought of a second marriage, needs no apology to the public, which is rather apt to be unreasonably discontented when a woman does marry again, than when she does not; but Sir Walter's continuing in singleness requires explanation.","[4, 4, 7, 2, 6, 3, 3, 9, 3, 9, 4, 8, 3, 6, 4, 2, 7, 2, 1, 6, 8, 5, 2, 7, 2, 3, 6, 5, 2, 6, 3, 2, 2, 12, 12, 4, 1, 5, 4, 5, 5, 4, 4, 3, 4, 3, 3, 3, 6, 2, 10, 2, 10, 8, 11]",267,"[1, 2, 2, 1, 3, 1, 1, 3, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 4, 1, 1, 2, 1, 1, 2, 1, 1, 1, 6, 3, 1, 1, 2, 0, 2, 2, 1, 1, 0, 0, 1, 1, 1, 2, 0, 3, 1, 3, 2, 4]",88,0.128333333333,15,1,1,4
"Be it known then, that Sir Walter, like a good father, (having met with one or two private disappointments in very unreasonable applications), prided himself on remaining single for his dear daughters' sake.","[2, 2, 5, 4, 4, 3, 6, 4, 1, 4, 6, 6, 3, 4, 3, 2, 3, 7, 15, 2, 4, 12, 12, 6, 7, 2, 9, 6, 3, 3, 4, 9, 4]",167,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 4, 1, 2, 5, 4, 1, 2, 1, 3, 1, 1, 1, 2, 2, 1]",53,0.207142857143,8,1,1,4
"For one daughter, his eldest, he would really have given up any thing, which he had not been very much tempted to do.","[3, 3, 8, 3, 6, 2, 5, 6, 4, 5, 2, 3, 5, 5, 2, 3, 3, 4, 4, 4, 7, 2, 2]",91,"[1, 1, 2, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",30,0.23,1,2,2,1
"Elizabeth had succeeded, at sixteen, to all that was possible, of her mother's rights and consequence; and being very handsome, and very like himself, her influence had always been great, and they had gone on together most happily.","[9, 3, 9, 2, 7, 2, 3, 4, 3, 8, 2, 3, 6, 2, 6, 3, 11, 3, 5, 4, 8, 3, 4, 4, 7, 3, 9, 3, 6, 4, 5, 3, 4, 3, 4, 2, 8, 4, 7]",186,"[4, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 3]",58,0.491666666667,19,2,2,4
His two other children were of very inferior value.,"[3, 3, 5, 8, 4, 2, 4, 8, 5]",42,"[1, 1, 2, 2, 1, 1, 2, 3, 1]",14,0.0375,18,0,0,1
"Mary had acquired a little artificial importance, by becoming Mrs Charles Musgrove; but Anne, with an elegance of mind and sweetness of character, which must have placed her high with any people of real understanding, was nobody with either father or sister; her word had no weight, her convenience was always to give way--she was only Anne.","[4, 3, 8, 1, 6, 10, 10, 2, 8, 3, 7, 8, 3, 4, 4, 2, 8, 2, 4, 3, 9, 2, 9, 5, 4, 4, 6, 3, 4, 4, 3, 6, 2, 4, 13, 3, 6, 4, 6, 6, 2, 6, 3, 4, 3, 2, 6, 3, 11, 3, 6, 2, 4, 3, 3, 3, 4, 4]",275,"[2, 1, 2, 1, 1, 5, 3, 1, 3, 0, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 1, 3, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 0, 1, 2, 1]",87,0.00375,15,1,1,4
"To Lady Russell, indeed, she was a most dear and highly valued god-daughter, favourite, and friend.","[2, 4, 7, 6, 3, 3, 1, 4, 4, 3, 6, 6, 12, 9, 3, 6]",79,"[1, 2, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1, 3, 3, 1, 2]",24,0.33,1,2,2,3
Lady Russell loved them all; but it was only in Anne that she could fancy the mother to revive again.,"[4, 7, 5, 4, 3, 3, 2, 3, 4, 2, 4, 4, 3, 5, 5, 3, 6, 2, 6, 5]",80,"[2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 2, 1, 2, 1, 2, 2]",26,0.35,1,2,2,3
