0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"     [Note: See also etext #219 which is a different version of this eBook]  HEART OF DARKNESS   By Joseph Conrad    I  The Nellie, a cruising yawl, swung to her anchor without a flutter of the sails, and was at rest.","[4, 3, 4, 5, 3, 5, 2, 1, 9, 7, 2, 4, 5, 5, 2, 8, 2, 6, 6, 1, 3, 6, 1, 8, 4, 5, 2, 3, 6, 7, 1, 7, 2, 3, 5, 3, 3, 2, 4]",159,"[1, 1, 2, 2, 0, 1, 1, 1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",54,0.0,6,1,1,1
"The flood had made, the wind was nearly calm, and being bound down the river, the only thing for it was to come to and wait for the turn of the tide.","[3, 5, 3, 4, 3, 4, 3, 6, 4, 3, 5, 5, 4, 3, 5, 3, 4, 5, 3, 2, 3, 2, 4, 2, 3, 4, 3, 3, 4, 2, 3, 4]",114,"[1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36,0.0481481481481,13,1,1,4
The sea-reach of the Thames stretched before us like the beginning of an interminable waterway.,"[3, 9, 2, 3, 6, 9, 6, 2, 4, 3, 9, 2, 2, 12, 8]",80,"[1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 4, 3]",26,-0.05,13,0,0,4
"In the offing the sea and the sky were welded together without a joint, and in the luminous space the tanned sails of the barges drifting up with the tide seemed to stand still in red clusters of canvas sharply peaked, with gleams of varnished sprits.","[2, 3, 6, 3, 3, 3, 3, 3, 4, 6, 8, 7, 1, 5, 3, 2, 3, 8, 5, 3, 6, 5, 2, 3, 6, 8, 2, 4, 3, 4, 6, 2, 5, 5, 2, 3, 8, 2, 6, 7, 6, 4, 6, 2, 9, 6]",203,"[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1]",59,-0.0625,12,1,1,1
A haze rested on the low shores that ran out to sea in vanishing flatness.,"[1, 4, 6, 2, 3, 3, 6, 4, 3, 3, 2, 3, 2, 9, 8]",59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 2]",19,0.0,0,0,0,4
"The air was dark above Gravesend, and farther back still seemed condensed into a mournful gloom, brooding motionless over the biggest, and the greatest, town on earth.","[3, 3, 3, 4, 5, 9, 3, 7, 4, 5, 6, 9, 4, 1, 8, 5, 8, 10, 4, 3, 7, 3, 3, 8, 4, 2, 5]",136,"[1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 2, 1, 1, 3, 1, 1, 2]",42,0.143333333333,6,1,1,4
The Director of Companies was our captain and our host.,"[3, 8, 2, 9, 3, 3, 7, 3, 3, 4]",45,"[1, 3, 1, 3, 1, 1, 2, 1, 1, 1]",15,0.0,8,0,0,2
We four affectionately watched his back as he stood in the bows looking to seaward.,"[2, 4, 14, 7, 3, 4, 2, 2, 5, 2, 3, 4, 7, 2, 7]",68,"[1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3]",23,0.0,0,0,0,4
On the whole river there was nothing that looked half so nautical.,"[2, 3, 5, 5, 5, 3, 7, 4, 6, 4, 2, 8]",54,"[1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3]",16,0.0166666666667,0,0,0,2
"He resembled a pilot, which to a seaman is trustworthiness personified.","[2, 9, 1, 5, 5, 2, 1, 6, 2, 15, 11]",59,"[1, 2, 1, 2, 1, 1, 1, 3, 1, 4, 4]",21,0.0,0,0,0,4
"It was difficult to realize his work was not out there in the luminous estuary, but behind him, within the brooding gloom.","[2, 3, 9, 2, 7, 3, 4, 3, 3, 3, 5, 2, 3, 8, 7, 3, 6, 3, 6, 3, 8, 5]",98,"[1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 2, 1, 2, 1]",33,-0.344444444444,5,0,0,4
"Between us there was, as I have already said somewhere, the bond of the sea.","[7, 2, 5, 3, 2, 1, 4, 7, 4, 9, 3, 4, 2, 3, 3]",59,"[2, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 1, 2]",22,0.0,0,0,0,4
"Besides holding our hearts together through long periods of separation, it had the effect of making us tolerant of each other's yarns--and even convictions.","[7, 7, 3, 6, 8, 7, 4, 7, 2, 10, 2, 3, 3, 6, 2, 6, 2, 8, 2, 4, 5, 2, 5, 3, 4, 11]",129,"[2, 2, 1, 2, 3, 1, 1, 2, 1, 4, 1, 1, 1, 2, 1, 2, 1, 3, 1, 2, 2, 0, 2, 1, 2, 3]",44,-0.0875,6,1,1,4
"The Lawyer--the best of old fellows--had, because of his many years and many virtues, the only cushion on deck, and was lying on the only rug.","[3, 6, 3, 4, 2, 3, 7, 3, 7, 2, 3, 4, 5, 3, 4, 7, 3, 4, 7, 2, 4, 3, 3, 5, 2, 3, 4, 3]",109,"[1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",37,0.35,2,2,2,3
"The Accountant had brought out already a box of dominoes, and was toying architecturally with the bones.","[3, 10, 3, 7, 3, 7, 1, 3, 2, 8, 3, 3, 6, 15, 4, 3, 5]",86,"[1, 3, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 6, 1, 1, 1]",28,0.0,13,0,0,4
"Marlow sat cross-legged right aft, leaning against the mizzen-mast.","[6, 3, 12, 5, 3, 7, 7, 3, 11]",57,"[2, 1, 2, 1, 1, 3, 2, 1, 3]",16,0.285714285714,10,2,2,3
"He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.","[2, 3, 6, 6, 1, 6, 10, 1, 8, 4, 2, 7, 6, 3, 4, 3, 4, 7, 3, 5, 2, 5, 8, 9, 2, 4]",121,"[1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2]",36,-0.075,13,1,1,4
"The Director, satisfied the anchor had good hold, made his way aft and sat down amongst us.","[3, 8, 9, 3, 6, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 7, 2]",72,"[1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",23,0.348148148148,3,2,2,3
We exchanged a few words lazily.,"[2, 9, 1, 3, 5, 6]",26,"[1, 2, 1, 1, 1, 3]",9,-0.225,18,0,0,2
Afterwards there was silence on board the yacht.,"[10, 5, 3, 7, 2, 5, 3, 5]",40,"[3, 1, 1, 2, 1, 1, 1, 2]",12,0.0,8,0,0,2
For some reason or other we did not begin that game of dominoes.,"[3, 4, 6, 2, 5, 2, 3, 3, 5, 4, 4, 2, 8]",51,"[1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2]",18,-0.2625,18,0,0,0
"We felt meditative, and fit for nothing but placid staring.","[2, 4, 10, 3, 3, 3, 7, 3, 6, 7]",48,"[1, 1, 4, 1, 1, 1, 2, 1, 2, 2]",16,0.05,0,0,0,2
The day was ending in a serenity of still and exquisite brilliance.,"[3, 3, 3, 6, 2, 1, 8, 2, 5, 3, 9, 10]",55,"[1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 3, 3]",20,1.0,15,2,2,3
"The water shone pacifically; the sky, without a speck, was a benign immensity of unstained light; the very mist on the Essex marshes was like a gauzy and radiant fabric, hung from the wooded rises inland, and draping the low shores in diaphanous folds.","[3, 5, 5, 11, 3, 3, 7, 1, 5, 3, 1, 6, 9, 2, 9, 5, 3, 4, 4, 2, 3, 5, 7, 3, 4, 1, 5, 3, 7, 6, 4, 4, 3, 6, 5, 6, 3, 7, 3, 3, 6, 2, 10, 5]",202,"[1, 2, 1, 5, 1, 1, 2, 1, 1, 1, 1, 2, 4, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 4, 1]",66,0.1,12,1,1,1
"Only the gloom to the west, brooding over the upper reaches, became more somber every minute, as if angered by the approach of the sun.","[4, 3, 5, 2, 3, 4, 8, 4, 3, 5, 7, 6, 4, 6, 5, 6, 2, 2, 7, 2, 3, 8, 2, 3, 3]",107,"[2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 3, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1]",37,-0.0766666666667,13,1,1,4
