0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
     A STUDY IN SCARLET.,"[1, 5, 2, 7]",15,"[1, 2, 1, 2]",6,0.0,9,0,0,0
"By A. Conan Doyle  [1]         Original Transcriber's Note: This etext is prepared directly      from an 1887 edition, and care has been taken to duplicate the      original exactly, including typographical and punctuation      vagaries.","[2, 1, 5, 5, 1, 8, 11, 2, 4, 4, 5, 2, 8, 8, 4, 2, 4, 7, 3, 4, 3, 4, 5, 2, 9, 3, 8, 7, 9, 13, 3, 11, 8]",175,"[1, 1, 2, 1, 0, 4, 3, 0, 1, 1, 2, 1, 2, 3, 1, 1, 0, 3, 1, 1, 1, 1, 2, 1, 3, 1, 4, 3, 3, 5, 1, 3, 3]",60,0.275,11,2,2,1
"Additions to the text include adding the underscore character to      indicate italics, and textual end-notes in square braces.","[9, 2, 3, 4, 7, 6, 3, 10, 9, 2, 8, 7, 3, 7, 9, 2, 6, 6]",103,"[3, 1, 1, 1, 2, 2, 1, 3, 3, 1, 3, 3, 1, 2, 2, 1, 1, 1]",32,0.0,7,2,2,3
Project Gutenberg Editor's Note: In reproofing and moving old PG      files such as this to the present PG directory system it is the      policy to reformat the text to conform to present PG Standards.,"[7, 9, 6, 2, 4, 2, 10, 3, 6, 3, 2, 5, 4, 2, 4, 2, 3, 7, 2, 9, 6, 2, 2, 3, 6, 2, 8, 3, 4, 2, 7, 2, 7, 2, 9]",157,"[2, 3, 3, 0, 1, 1, 3, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 4, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 2, 0, 2]",51,0.025,11,2,2,1
"In this case however, in consideration of the note above of the      original transcriber describing his care to try to duplicate the      original 1887 edition as to typography and punctuation vagaries,      no changes have been made in this ascii text file.","[2, 4, 4, 7, 2, 13, 2, 3, 4, 5, 2, 3, 8, 11, 10, 3, 4, 2, 3, 2, 9, 3, 8, 4, 7, 2, 2, 10, 3, 11, 8, 2, 7, 4, 4, 4, 2, 4, 5, 4, 4]",201,"[1, 1, 1, 3, 1, 5, 1, 1, 1, 2, 1, 1, 4, 3, 3, 1, 1, 1, 1, 1, 3, 1, 4, 0, 3, 1, 1, 4, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",69,0.25,6,2,2,1
"However, in      the Latin-1 file and this html file, present standards are      followed and the several French and Spanish words have been      given their proper accents.","[7, 2, 3, 7, 4, 3, 4, 4, 4, 7, 9, 3, 8, 3, 3, 7, 6, 3, 7, 5, 4, 4, 5, 5, 6, 7]",130,"[3, 1, 1, 2, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2]",37,0.0,7,2,2,1
"Part II, The Country of the Saints, deals much with the Mormon Church.","[4, 2, 3, 7, 2, 3, 6, 5, 4, 4, 3, 6, 6]",55,"[1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1]",16,0.2,3,0,0,0
A STUDY IN SCARLET.,"[1, 5, 2, 7]",15,"[1, 2, 1, 2]",6,0.0,9,0,0,0
PART I.,"[4, 1]",5,"[1, 1]",2,0.0,9,0,0,0
"(_Being a reprint from the reminiscences of_ JOHN H. WATSON, M.D., _late of the Army Medical Department._) [2]     CHAPTER I. MR. SHERLOCK HOLMES.","[5, 1, 7, 4, 3, 13, 2, 4, 1, 6, 3, 4, 2, 3, 4, 7, 10, 1, 7, 1, 2, 8, 6]",104,"[1, 1, 2, 1, 1, 4, 1, 1, 0, 2, 0, 1, 1, 1, 2, 3, 3, 0, 2, 1, 0, 2, 1]",31,-0.15,19,2,2,3
"IN the year 1878 I took my degree of Doctor of Medicine of the University of London, and proceeded to Netley to go through the course prescribed for surgeons in the army.","[2, 3, 4, 4, 1, 4, 2, 6, 2, 6, 2, 8, 2, 3, 10, 2, 6, 3, 9, 2, 6, 2, 2, 7, 3, 6, 10, 3, 8, 2, 3, 4]",137,"[1, 1, 2, 0, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 5, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2]",46,0.0,0,2,2,1
"Having completed my studies there, I was duly attached to the Fifth Northumberland Fusiliers as Assistant Surgeon.","[6, 9, 2, 7, 5, 1, 3, 4, 8, 2, 3, 5, 14, 9, 2, 9, 7]",96,"[2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 4, 4, 1, 3, 2]",31,0.0,7,2,2,3
