0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"     MADAME BOVARY  By Gustave Flaubert  Translated from the French by Eleanor Marx-Aveling   To Marie-Antoine-Jules Senard Member of the Paris Bar, Ex-President of the National Assembly, and Former Minister of the Interior Dear and Illustrious Friend, Permit me to inscribe your name at the head of this book, and above its dedication; for it is to you, before all, that I owe its publication.","[6, 6, 2, 7, 8, 10, 4, 3, 6, 2, 7, 12, 2, 19, 6, 6, 2, 3, 5, 3, 12, 2, 3, 8, 8, 3, 6, 8, 2, 3, 8, 4, 3, 11, 6, 6, 2, 2, 8, 4, 4, 2, 3, 4, 2, 4, 4, 3, 5, 3, 10, 3, 2, 2, 2, 3, 6, 3, 4, 1, 3, 3, 11]",315,"[2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 4, 4, 1, 7, 2, 2, 1, 1, 2, 1, 4, 1, 1, 3, 3, 1, 2, 3, 1, 1, 3, 2, 1, 3, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4]",111,0.0,2,1,1,2
"Reading over your magnificent defence, my work has acquired for myself, as it were, an unexpected authority.","[7, 4, 4, 11, 7, 2, 4, 3, 8, 3, 6, 2, 2, 4, 2, 10, 9]",88,"[3, 2, 1, 4, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 3, 4]",31,0.55,6,0,0,4
"Accept, then, here, the homage of my gratitude, which, how great soever it is, will never attain the height of your eloquence and your devotion.","[6, 4, 4, 3, 6, 2, 2, 9, 5, 3, 5, 6, 2, 2, 4, 5, 6, 3, 6, 2, 4, 9, 3, 4, 8]",113,"[2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 3]",37,0.8,6,0,0,4
"Gustave Flaubert Paris, 12 April 1857     MADAME BOVARY     Part I    Chapter One  We were in class when the head-master came in, followed by a ""new fellow,"" not wearing the school uniform, and a school servant carrying a large desk.","[7, 8, 5, 2, 5, 4, 6, 6, 4, 1, 7, 3, 2, 4, 2, 5, 4, 3, 11, 4, 2, 8, 2, 1, 3, 6, 3, 7, 3, 6, 7, 3, 1, 6, 7, 8, 1, 5, 4]",176,"[2, 2, 2, 0, 2, 0, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1]",56,0.175324675325,8,1,1,2
"Those who had been asleep woke up, and every one rose as if just surprised at his work.","[5, 3, 3, 4, 6, 4, 2, 3, 5, 3, 4, 2, 2, 4, 9, 2, 3, 4]",68,"[1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1]",22,0.35,12,0,0,4
The head-master made a sign to us to sit down.,"[3, 11, 4, 1, 4, 2, 2, 2, 3, 4]",36,"[1, 4, 1, 1, 1, 1, 1, 1, 1, 1]",13,-0.155555555556,14,2,2,1
"Then, turning to the class-master, he said to him in a low voice--  ""Monsieur Roger, here is a pupil whom I recommend to your care; he'll be in the second.","[4, 7, 2, 3, 12, 2, 4, 2, 3, 2, 1, 3, 5, 8, 5, 4, 2, 1, 5, 4, 1, 9, 2, 4, 4, 2, 3, 2, 2, 3, 6]",117,"[1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 0, 1, 1, 1, 2]",40,0.0,18,1,1,0
"If his work and conduct are satisfactory, he will go into one of the upper classes, as becomes his age.""","[2, 3, 4, 3, 7, 3, 12, 2, 4, 2, 4, 3, 2, 3, 5, 7, 2, 7, 3, 3]",81,"[1, 1, 1, 1, 2, 1, 5, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1]",28,0.0,1,2,2,0
"The ""new fellow,"" standing in the corner behind the door so that he could hardly be seen, was a country lad of about fifteen, and taller than any of us.","[3, 3, 6, 8, 2, 3, 6, 6, 3, 4, 2, 4, 2, 5, 6, 2, 4, 3, 1, 7, 3, 2, 5, 7, 3, 6, 4, 3, 2, 2]",117,"[1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1]",40,-0.185101010101,18,1,1,0
"His hair was cut square on his forehead like a village chorister's; he looked reliable, but very ill at ease.","[3, 4, 3, 3, 6, 2, 3, 8, 4, 1, 7, 9, 2, 2, 6, 8, 3, 4, 3, 2, 4]",87,"[1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 3, 0, 1, 1, 3, 1, 2, 1, 1, 2]",30,-0.65,17,2,2,3
