0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"     GREAT EXPECTATIONS  [1867 Edition]  by Charles Dickens   [Project Gutenberg Editor's Note: There is also another version of this work etext98/grexp10.txt scanned from a different edition]     Chapter I  My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip.","[5, 12, 4, 7, 2, 7, 7, 7, 9, 6, 2, 4, 5, 2, 4, 7, 7, 2, 4, 4, 19, 7, 4, 1, 9, 7, 7, 1, 2, 6, 2, 6, 4, 5, 6, 3, 2, 9, 4, 6, 2, 6, 6, 5, 4, 2, 4, 5, 7, 6, 2, 4, 8, 4, 3]",285,"[2, 4, 0, 3, 1, 1, 2, 2, 3, 3, 0, 1, 1, 1, 2, 3, 2, 1, 1, 1, 3, 1, 1, 1, 3, 3, 2, 1, 1, 2, 0, 3, 1, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1]",87,0.325,11,1,1,3
"So, I called myself Pip, and came to be called Pip.","[2, 1, 6, 6, 3, 3, 4, 2, 2, 6, 3]",38,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",12,0.0,10,0,0,4
"I give Pirrip as my father's family name, on the authority of his tombstone and my sister,--Mrs. Joe Gargery, who married the blacksmith.","[1, 4, 6, 2, 2, 6, 2, 6, 4, 2, 3, 9, 2, 3, 9, 3, 2, 6, 3, 3, 7, 3, 7, 3, 10]",108,"[1, 1, 2, 1, 1, 2, 0, 3, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 0, 0, 3, 1, 2, 1, 2]",35,0.25,5,2,2,2
"As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones.","[2, 1, 5, 3, 2, 6, 2, 2, 6, 3, 5, 3, 3, 8, 2, 6, 2, 4, 3, 5, 4, 4, 4, 6, 3, 4, 2, 11, 2, 5, 7, 9, 4, 4, 4, 4, 4, 12, 7, 4, 5, 10]",192,"[1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 6, 2, 1, 1, 2]",63,0.1,17,1,1,3
"The shape of the letters on my father's, gave me an odd idea that he was a square, stout, dark man, with curly black hair.","[3, 5, 2, 3, 7, 2, 2, 6, 2, 4, 2, 2, 3, 4, 4, 2, 3, 1, 6, 5, 4, 3, 4, 5, 5, 4]",93,"[1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",30,-0.161111111111,19,0,0,0
"From the character and turn of the inscription, ""Also Georgiana Wife of the Above,"" I drew a childish conclusion that my mother was freckled and sickly.","[4, 3, 9, 3, 4, 2, 3, 11, 4, 9, 4, 2, 3, 5, 1, 4, 1, 8, 10, 4, 2, 6, 3, 8, 3, 6]",122,"[1, 1, 3, 1, 1, 1, 1, 3, 2, 4, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 2, 1, 1, 1, 2]",40,-0.304761904762,19,1,1,0
"To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine,--who gave up trying to get a living, exceedingly early in that universal struggle,--I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets, and had never taken them out in this state of existence.","[2, 4, 6, 5, 8, 4, 5, 1, 4, 3, 1, 4, 4, 5, 4, 8, 2, 1, 4, 3, 6, 5, 5, 3, 4, 6, 2, 3, 6, 2, 4, 6, 8, 2, 4, 3, 4, 2, 6, 2, 3, 1, 6, 11, 5, 2, 4, 9, 8, 1, 2, 8, 3, 1, 6, 1, 11, 11, 4, 4, 3, 3, 4, 4, 2, 5, 5, 4, 5, 5, 2, 5, 16, 3, 3, 5, 5, 4, 3, 2, 4, 5, 2, 9]",370,"[1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 3, 1, 1, 4, 1, 1, 1, 2, 1, 1, 3, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3]",117,-0.0702380952381,4,1,1,3
"Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea.","[4, 3, 3, 5, 7, 4, 2, 3, 5, 6, 2, 3, 5, 5, 6, 5, 2, 3, 3]",76,"[1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2]",25,-0.155555555556,19,0,0,0
My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.,"[2, 5, 4, 5, 3, 5, 10, 2, 3, 8, 2, 6, 5, 2, 2, 2, 4, 4, 6, 2, 1, 9, 3, 9, 7, 7]",118,"[1, 1, 1, 2, 1, 1, 3, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 2, 3]",39,0.201121794872,1,2,2,2
"At such a time I found out for certain that this bleak place overgrown with nettles was the churchyard; and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried; and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried; and that the dark flat wilderness beyond the churchyard, intersected with dikes and mounds and gates, with scattered cattle feeding on it, was the marshes; and that the low leaden line beyond was the river; and that the distant savage lair from which the wind was rushing was the sea; and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip.","[2, 4, 1, 4, 1, 5, 3, 3, 7, 4, 4, 5, 5, 9, 4, 7, 3, 3, 10, 3, 4, 6, 6, 4, 2, 4, 6, 3, 4, 9, 4, 2, 3, 5, 4, 4, 3, 6, 3, 4, 9, 11, 7, 6, 3, 5, 6, 8, 2, 3, 9, 4, 4, 4, 3, 6, 3, 4, 3, 4, 4, 10, 6, 3, 10, 11, 4, 5, 3, 6, 3, 5, 4, 9, 6, 7, 2, 2, 3, 3, 7, 3, 4, 3, 3, 6, 4, 6, 3, 3, 5, 3, 4, 3, 7, 6, 4, 4, 5, 3, 4, 3, 7, 3, 3, 3, 3, 4, 3, 5, 6, 2, 7, 7, 6, 2, 2, 3, 3, 9, 2, 3, 3, 3]",565,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 4, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 4, 4, 3, 3, 1, 2, 2, 2, 1, 1, 4, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1]",179,-0.200765306122,18,1,1,3
