0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
           The War of the Worlds  by H. G. Wells [1898]        But who shall dwell in these worlds if they be      inhabited?,"[3, 3, 2, 3, 6, 2, 1, 1, 5, 4, 3, 3, 5, 5, 2, 5, 6, 2, 4, 2, 9]",76,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",20,0.0,11,2,2,1
.,[],0,[],0,0.0,2,2,2,1
.,[],0,[],0,0.0,2,2,2,1
.,[],0,[],0,0.0,2,2,2,1
Are we or they Lords of the      World?,"[3, 2, 2, 4, 5, 2, 3, 5]",26,"[1, 1, 1, 1, 1, 1, 1, 1]",8,0.0,2,2,2,1
.,[],0,[],0,0.0,2,2,2,1
.,[],0,[],0,0.0,2,2,2,1
.,[],0,[],0,0.0,2,2,2,1
"And how are all things made for man?--           KEPLER (quoted in The Anatomy of Melancholy)    BOOK ONE  THE COMING OF THE MARTIANS    CHAPTER ONE  THE EVE OF THE WAR   No one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than man's and yet as mortal as his own; that as men busied themselves about their various concerns they were scrutinised and studied, perhaps almost as narrowly as a man with a microscope might scrutinise the transient creatures that swarm and multiply in a drop of water.","[3, 3, 3, 3, 6, 4, 3, 3, 6, 6, 2, 3, 7, 2, 10, 4, 3, 3, 6, 2, 3, 8, 7, 3, 3, 3, 2, 3, 3, 2, 3, 5, 4, 8, 2, 3, 4, 5, 2, 3, 10, 7, 4, 4, 5, 3, 5, 7, 6, 3, 7, 2, 13, 7, 4, 3, 2, 3, 3, 2, 6, 2, 3, 3, 4, 2, 3, 6, 10, 5, 5, 7, 8, 4, 4, 11, 3, 7, 7, 6, 2, 8, 2, 1, 3, 4, 1, 10, 5, 10, 3, 9, 9, 4, 5, 3, 8, 2, 1, 4, 2, 5]",465,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 4, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 4, 3, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 3, 1, 3, 1, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 2]",151,0.15,0,0,0,0
"With infinite complacency men went to and fro over this globe about their little affairs, serene in their assurance of their empire over matter.","[4, 8, 11, 3, 4, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 6, 2, 5, 9, 2, 5, 6, 4, 6]",119,"[1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3, 1, 1, 2, 2, 2]",38,-0.1875,16,0,0,2
