bathing-place,3
four,1
Does,0
hanging,2
woody,2
looking,2
eligible,3
scold,1
lord,1
meadows,3
sinking,2
foul,1
bringing,2
disturb,2
recollections,4
protest,2
piling,2
persisted,2
woods,1
succession,3
tired,1
cordially,4
diffuseness,4
tires,1
elegant,3
second,2
consenting,3
errors,2
forgetting,3
cooking,2
contributed,3
fingers,2
designing,3
increasing,4
inducement,4
offenses,2
gayer,1
interrupting,4
work-bags,2
here,1
china,2
hers,1
natured,2
substance,2
unwillingness,4
pretensions,3
reports,2
powdering,3
military,4
Compared,2
divide,2
secluded,2
criticise,3
explained,2
civilities,4
summons,2
brought,1
HARRIET,3
forbore,2
cheating,3
spoke,1
impartiality,6
music,2
therefore,3
strike,1
sermons,2
until,2
Brighton,2
females,2
successful,3
brings,1
hurt,1
glass,1
hold,1
circumstances,3
pursue,1
accomplishment,4
EDW,1
example,2
expressively,5
misfortunes,3
La,1
unjust,2
household,3
bitterest,3
caution,2
want,1
absolute,3
complaining,3
feature,3
how,1
hot,1
disgrace,2
shrug,1
dignified,3
A,1
gaming,2
beauty,3
wrong,1
destined,2
Matlock,2
endeavoured,4
youths,1
revolt,2
headquarters,4
wink,1
18th,0
Another,3
keeps,1
nonsensical,4
Kenilworth,3
wind,1
wine,1
blind,1
welcomed,2
concurrence,3
vary,2
rewarded,2
His,1
fit,1
heretofore,4
fix,1
narrowest,3
distinguishing,4
nobler,2
admirable,3
grievous,3
effects,2
interrupt,3
over-rated,3
beaux,2
yourself,2
interfering,4
blushed,1
preceded,2
Eliza,3
fortnight,2
ill-used,2
blinded,1
backgammon,3
borne,1
misfortune,3
forwarding,3
excepting,3
encourage,3
Vanity,3
foundation,3
assured,2
wavered,2
threatened,3
faculties,3
grapes,1
sheet,1
universally,5
ate,1
exposing,3
shelves,1
disturbed,2
speedy,2
Human,2
angelic,3
instruct,2
clamorous,3
sallied,2
service,2
engagement,4
needed,1
master,2
bitter,2
listen,2
wisdom,2
legally,3
positively,5
exultation,4
showed,1
miniatures,4
project,2
idle,1
exclaimed,2
endure,2
feeling,2
acquisition,4
entail,2
willingness,3
dozen,2
affairs,2
person,2
eagerly,4
recommended,3
amusing,3
They,1
Stoke,1
sweet-tempered,3
imprudent,3
Jones,1
transactions,3
object,2
vexing,2
obsequiousness,4
mouth,1
letter,2
retaining,3
morality,4
grove,1
camp,1
fugitives,3
came,1
saying,1
sons-in-law,3
meetings,2
tempted,1
four-and-twenty,4
apace,2
busy,2
vexations,3
cousins,2
touched,1
rich,1
upbraiding,3
heartily,4
emphatically,5
plate,1
petrified,3
pocket,2
altogether,4
societies,4
nicely,3
exclamations,4
release,3
hasten,2
precluding,3
fair,1
unexpectedly,5
result,2
fail,1
Netherfield,4
well-educated,4
best,1
foxhounds,2
playfulness,3
rings,1
solicitude,4
score,1
scorn,1
preserve,2
never,2
nature,2
toilette,2
great-uncle,3
extent,2
defiance,3
debt,1
pity,2
accident,3
disdain,2
country,2
estates,2
planned,1
marrying,2
adapted,2
asked,1
temptations,3
mortified,3
vain,1
unprotected,3
mortifies,3
union,2
Amongst,2
quarrelling,3
much,1
wished-for,3
privilege,3
tallest,2
life,1
lift,1
doubts,1
worked,1
diverted,2
employ,2
unfelt,2
remembering,4
congratulation,5
played,0
actuated,2
'My,1
to-morrow,3
anticipating,5
'Mr,0
trusted,1
severity,4
things,1
Oh,1
chambermaid,3
harmony,3
parsonage-house,5
emphatic,3
exertion,3
fairly,2
ill-usage,3
qualifications,5
supper,2
altar,2
intrusion,3
ill-judging,3
milliner,3
opinions,3
outlived,2
Thank,1
absurdities,4
distribute,3
disguise,2
ungovernable,4
exclaiming,3
